,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
473,2019-04-19,3967.5665876386674,2202.965092504721,5753.110297854127,3967.5665876386674,3967.5665876386674,0.0,0.0,0.0,0.0,0.0,0.0,3967.5665876386674
474,2019-04-20,3968.628875055857,2172.3942601497724,5660.867978005287,3968.628875055857,3968.628875055857,0.0,0.0,0.0,0.0,0.0,0.0,3968.628875055857
475,2019-04-21,3969.6911624730465,2219.7126477727966,5781.12614973592,3969.6911624730465,3969.6911624730465,0.0,0.0,0.0,0.0,0.0,0.0,3969.6911624730465
476,2019-04-22,3970.7534498902355,2232.0677621604195,5743.045039586944,3970.7534498902355,3970.7534498902355,0.0,0.0,0.0,0.0,0.0,0.0,3970.7534498902355
477,2019-04-23,3971.815737307425,2121.1493608275573,5671.179872981854,3971.815737307425,3971.815737307425,0.0,0.0,0.0,0.0,0.0,0.0,3971.815737307425
478,2019-04-24,3972.8780247246145,2037.3944114208252,5637.736751764408,3972.8780247246145,3972.8780247246145,0.0,0.0,0.0,0.0,0.0,0.0,3972.8780247246145
479,2019-04-25,3973.9403121418036,2257.34940321747,5661.467633194145,3973.9403121418036,3973.9403121418036,0.0,0.0,0.0,0.0,0.0,0.0,3973.9403121418036
480,2019-04-26,3975.002599558993,2185.0778769802737,5635.323179674037,3975.002599558993,3975.002599558993,0.0,0.0,0.0,0.0,0.0,0.0,3975.002599558993
481,2019-04-27,3976.0648869761826,2130.5269733773093,5851.355644630798,3976.0648869761826,3976.0648869761826,0.0,0.0,0.0,0.0,0.0,0.0,3976.0648869761826
482,2019-04-28,3977.127174393372,2271.627048989811,5782.360454736998,3977.127174393372,3977.127174393372,0.0,0.0,0.0,0.0,0.0,0.0,3977.127174393372
483,2019-04-29,3978.189461810561,2193.170597978984,5629.829785577727,3978.189461810561,3978.189461810561,0.0,0.0,0.0,0.0,0.0,0.0,3978.189461810561
484,2019-04-30,3979.2517492606817,2298.5359928397797,5724.067119039366,3979.2517492606817,3979.2517492606817,0.0,0.0,0.0,0.0,0.0,0.0,3979.2517492606817
